# gunzip -c exp/tri3a/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri3a/graph 
# Started at Fri Apr 22 16:27:30 CDT 2022
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 42.0289855072% of the time at utterance end.  This may not be optimal.
At utterance begin, sil accounts for 98.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.6,18) frames.
At utterance begin, nonsilence accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (20,20.0,20) frames.
At utterance begin, f_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (20,20.0,20) frames.
At utterance end, nonsilence accounts for 58.0% of phone occurrences, with duration (median, mean, 95-percentile) is (20,19.4,30) frames.
At utterance end, sil accounts for 42.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,11) frames.
At utterance end, n_E accounts for 21.7% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.3,26) frames.
At utterance end, t_E accounts for 10.1% of phone occurrences, with duration (median, mean, 95-percentile) is (20,18.9,22) frames.
At utterance end, iy1_E accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (24,22.8,25) frames.
At utterance end, v_E accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (22,23.2,26) frames.
At utterance end, ow0_E accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,13.7,15) frames.
At utterance end, p_E accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (29,31.0,30) frames.
At utterance end, s_E accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,6) frames.
At utterance end, uw1_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (34,34.0,34) frames.
Overall, nonsilence accounts for 68.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.3,28) frames.
Overall, sil accounts for 31.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.0,18) frames.
Overall, n_E accounts for 6.1% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.0,26) frames.
Overall, ay1_I accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,12) frames.
Overall, t_E accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.8,22) frames.
Overall, f_B accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.6,15) frames.
Overall, ih1_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.5,17) frames.
Overall, r_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.6,10) frames.
Overall, eh1_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.9,13) frames.
Overall, s_B accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.6,9) frames.
Overall, ah1_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,10) frames.
Overall, ah1_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.6,8) frames.
Overall, ao1_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (23,26.0,28) frames.
Overall, aw1_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,9) frames.
Overall, d_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.2,15) frames.
Overall, ey1_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (19,19.8,21) frames.
Overall, f_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.2,3) frames.
Overall, iy1_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (22,22.6,25) frames.
Overall, k_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.0,18) frames.
Overall, l_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,11) frames.
Overall, n_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.2,11) frames.
Overall, ow0_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.2,15) frames.
Overall, p_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (27,29.0,30) frames.
Overall, r_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.8,21) frames.
Overall, r_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.4,18) frames.
Overall, s_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.0,6) frames.
Overall, t_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.4,4) frames.
Overall, th_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.2,16) frames.
Overall, uw1_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (34,37.6,41) frames.
Overall, v_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (19,21.2,26) frames.
